id,name,description,sku,price,permalink,created_at
1,Cotton Balls | Economy | 0.22g | Bag of 2000,"KOSMA-KARE Cotton balls are ideal for applying first aid creams and ointments. They are white, non-sterile, and are made from 100% natural cotton. Non-Sterile Medical Cotton Balls are appropriate for wound treatment, cleaning, prepping, applying creams and ointments. Perfect for skin prepping and wound cleansing Removing makeup and ideal for beauty Personal care and household uses .",KK-21176,9.99,https://c6.ca/collections/patient-care/products/cotton-balls-economy-bag-of-2000,2024-03-18 16:29:11
2,"Lactated Ringer Subcutaneous Fluids, USP","B. Braun Lactated Ringer's Injection USP is sterile, nonpyrogenic and contains no bacteriostatic or antimicrobial agents. This product is intended for intravenous administration in a single dose container. This solution is indicated for use in adults and pediatric patients as a source of electrolytes and water for hydration. For information on use of Lactating Ringers for pets please review the enclosed .",BB-L7501,7.99,https://c6.ca/collections/patient-care/products/lactated-ringers-injections-usp-1000ml,2024-03-18 16:29:11
3,"Grafco® Unlabeled Flint Glass Sundry Jar | 7"" x 4.25""","graham field Grafco® Unlabeled Flint Glass Sundry Jars are excellent for storing and dispensing a variety of supplies, making them ideal for hospitals and clinics Clear glass sundry jars keep applicators, cotton, tongue depressors, gauze and bandages in plain sight and right at your fingertips Stainless-steel covers Each jar is 7"" deep and 4 1/4"" diameter",GF-3458,12.99,https://c6.ca/collections/patient-care/products/grafco%C2%AE-unlabeled-flint-glass-sundry-jar-7-x-4-25,2024-03-18 16:29:11
4,Cotton Balls | High Density | Bag of 1000,"KOSMA-KARE Cotton balls are ideal for applying first aid creams and ointments. They are white, non-sterile, and are made from 100% natural cotton. Non-Sterile Medical Cotton Balls are appropriate for wound treatment, cleaning, prepping, applying creams and ointments. Perfect for skin prepping and wound cleansing Removing makeup and ideal for beauty, Personal care and household uses .",KK-21476,15.99,https://c6.ca/collections/patient-care/products/cotton-balls-high-density-medium-0-55g-bag-of-1000,2024-03-18 16:29:11
5,"Aerosol Kit with Mask, Nebulizer, & Tubing | 7', Disposable | Each","Glenwood Laboratories Canada Ltd Pediatric Aerosol Kit Includes Mask, Updraft Nebulizer & 7' (2.1 m) Sure Flow Tubing. Adult Aerosol Kit Includes Mask, Side Draft Nebulizer and 7' (2.1 m) Sure Flow Tubing",GK-1807,9.99,https://c6.ca/collections/patient-care/products/aerosol-kit-with-mask-nebulizer-tubing-7-pediatric-disposable-each,2024-03-18 16:29:11
6,Rayon Balls | 0.22g | Bag of 2000,"KOSMA-KARE Medical grade rayon fibers help provide the greatest uniformity and highest absorbency Soft, smooth and virtually lint-free White rayon balls retain their shape and do not cling to each other",KK-21276,9.99,https://c6.ca/collections/patient-care/products/rayon-balls-0-22g-bag-of-2000,2024-03-18 16:29:11
7,Clear Ear Irrigation Tips | 40 Tips,bionix The OtoClear® Ear Irrigation Tip was developed to safely and thoroughly clear the ear canal of wax and debris. It is designed to conveniently attach to the OtoClear®Spray Wash Kit. Tips are also compatible with standard 60cc luer lock syringes. Unique design deflects water to the sides of the ear canal Avoid risk of injury Flared tip shape prevents over-insertion Exit portals for the water and debris reduces mess during irrigation Quantity: 40 Each per Case Gently and thoroughly lavages ear canal Provides “real-time” clearance of obstructive cerumen,BNX-7200,71.99,https://c6.ca/collections/patient-care/products/clear-ear-irrigation-tips-40-tips,2024-03-18 16:29:11
8,3M Soluprep Swabstick 102.03 | Clear | Small,"3m 3M SoluPrep Swab 102.03 is a clear solution of 2% w/v chlorhexidine gluconate (CHG) and 70% v/v isopropyl alcohol (IPA). Indicated for skin antisepsis prior to invasive procedures, this product helps reduce bacteria on skin to diminish the risk of surgical site infection. Flat tip for easy cleaning under catheters For hospital and healthcare professional use only Maximum treatment area is 10 cm x 11 cm Antiseptic swabs with clear solution Peel-apart packaging Pre-moistened swab Flexible handle Hypoallergenic Latex free Non-Sterile",3M-10203,54.99,https://c6.ca/collections/patient-care/products/3m-soluprep-swab-102-03-clear-small,2024-03-18 16:29:11
9,"Adult Total Non-Rebreathing Mask (with Tubing) | 7', Disposable",Glenwood Laboratories Canada Ltd Adult Total Non-Rebreathing Mask with 2 Side Valves and 7' (2.1m) Sure Flow Tubing.,GK-1095,4.99,https://c6.ca/collections/patient-care/products/adult-total-non-rebreathing-mask-with-tubing-7-disposable,2024-03-18 16:29:11
10,Lernapharm Loris Povidone Iodine Swabs | Medium,"loris Loris PVP Swabs are antiseptic swabs used by health care professionals for wound cleansing or before invasive procedures. Each pad is saturated with 10% W/V Povidine Iodine solution, USP which is equivalent to 1% available Iodine. 10% Povidone-iodine topical solution, USP For cleansing minor scrapes, cuts and burns Air dries quickly requiring no wiping Swab size: Medium 65 mm x 35 mm Quantity: 200 swabs each per box, 20 boxes per case Prepares skin by cleansing dead skin, dirt, or oil Helps reduce bacteria For external use only",LER-109-01,12.94,https://c6.ca/collections/patient-care/products/lernapharm-loris-povidone-iodine-swabs-medium,2024-03-18 16:29:11
