SKU,Name,Description,Brand,Category,Manufacturer,Price,Availability,Weight,Dimensions,Material,Color
8CE41MFU,Health Device Equipment,Advanced accessory for Supplies,Brand D,Surgical Supplies,Manufacturer E,335.1,Out of stock,4.3,37.3x35.1x25.2,Glass,Grey
WB7V0E5G,Accessory,Portable healthcare product for Supplies,Brand E,Diagnostic Equipment,Manufacturer A,102.8,Out of stock,6.0,81.2x37.7x17.6,Plastic,Orange
YJPI5QRW,Accessory,Advanced healthcare product for Care Device Health,Brand C,Personal Care,Manufacturer D,191.7,Out of stock,3.7,45.0x47.4x37.2,Wood,Yellow
ZCP6ZCGM,Medical Equipment Device,Advanced device for Device,Brand C,Therapeutic Equipment,Manufacturer D,257.8,In stock,6.3,18.4x40.6x38.8,Glass,Grey
NR0SGQEU,Supplies Care Accessory,Innovative medical equipment for Equipment Medical,Brand B,Personal Care,Manufacturer C,371.5,Out of stock,10.0,14.6x45.7x26.7,Wood,White
3H854G3P,Care Accessory,Portable supply for Supplies,Brand A,Personal Care,Manufacturer D,337.3,Out of stock,5.9,56.2x24.9x45.6,Metal,Green
W2EDWTX8,Accessory,Advanced medical equipment for Device,Brand A,Laboratory Equipment,Manufacturer A,337.2,Out of stock,3.6,32.7x26.6x17.4,Plastic,Grey
ZUSSCGHJ,Accessory Accessory Device,High-quality supply for Supplies,Brand A,Surgical Supplies,Manufacturer A,252.6,Out of stock,1.1,18.8x23.3x29.9,Plastic,White
O46RGAAJ,Accessory,High-quality device for Care Accessory Health,Brand C,Diagnostic Equipment,Manufacturer B,254.3,In stock,12.8,58.6x46.4x33.1,Glass,Orange
9E56IMLH,Care Medical,Innovative accessory for Equipment Medical,Brand D,Therapeutic Equipment,Manufacturer A,387.3,Out of stock,11.7,69.6x44.0x38.3,Plastic,Red
RMD2CC5G,Care,High-quality medical equipment for Care Health,Brand D,Personal Care,Manufacturer A,117.7,Out of stock,16.0,59.5x22.0x44.3,Glass,Red
ZIDY5YSS,Accessory,High-quality device for Equipment,Brand A,Personal Care,Manufacturer D,62.1,In stock,5.8,51.4x44.3x11.7,Fabric,Yellow
Q3RWN7FW,Accessory Accessory Device,High-quality healthcare product for Device Health,Brand B,Surgical Supplies,Manufacturer D,163.9,In stock,17.9,34.5x5.1x10.8,Metal,Grey
AEQIDMPY,Medical Health Supplies,Advanced medical equipment for Device,Brand D,Therapeutic Equipment,Manufacturer A,207.8,Out of stock,5.1,39.7x23.7x16.9,Glass,Red
NIVPMEMO,Care Medical,Advanced supply for Supplies Accessory,Brand C,Laboratory Equipment,Manufacturer B,238.4,In stock,2.6,19.6x36.1x48.9,Glass,Grey
RS5T1VH9,Medical Supplies Accessory,Portable medical equipment for Care Device,Brand E,Surgical Supplies,Manufacturer E,415.2,In stock,9.3,85.8x17.0x17.8,Fabric,Orange
FRW7ZDUD,Equipment Medical Medical,Innovative accessory for Equipment Supplies,Brand D,Diagnostic Equipment,Manufacturer A,88.7,Out of stock,11.8,90.3x41.7x49.3,Plastic,White
WY0Z8XWS,Device Equipment Supplies,Advanced healthcare product for Medical Care Equipment,Brand C,Diagnostic Equipment,Manufacturer A,299.5,In stock,6.1,73.1x43.7x39.2,Wood,Black
QEXW4W1U,Device Supplies,Advanced healthcare product for Accessory,Brand B,Personal Care,Manufacturer C,152.2,Out of stock,12.2,62.8x39.3x6.5,Fabric,Red
QQLHNNR2,Supplies Health,Portable supply for Medical Supplies,Brand E,Laboratory Equipment,Manufacturer C,370.7,Out of stock,2.9,61.9x43.5x37.6,Fabric,Grey
CJ7PP5HV,Medical,Compact medical equipment for Accessory Accessory Care,Brand E,Personal Care,Manufacturer B,22.4,Out of stock,10.3,66.6x21.7x47.1,Plastic,Yellow
VS83RH0A,Device Accessory Supplies,Advanced device for Supplies,Brand B,Personal Care,Manufacturer B,243.2,In stock,8.9,40.4x15.0x41.2,Wood,Blue
