id,name,description,sku,price,permalink,created_at
1,Cordless Bed and Chair Sensor Pads,"The Cordless Bed and Chair Sensor Pads provide reliable monitoring with a lifespan of 18 months. The cordless option eliminates cord tripping hazards and damage, reducing false alarms. The pads can be folded for easy storage.",,0.00,https://mecp.ca/?post_type=product&p=60037,2024-03-13 22:29:39
2,MedPro Rayon Balls,"MedPro Non-sterile rayon balls 50% rayon, 50% cotton",,35.53,https://mecp.ca/product/medpro-rayon-balls/,2024-03-13 22:29:39
3,MedPro Rayon Balls,"MedPro Non-sterile rayon balls 50% rayon, 50% cotton",,0.00,https://mecp.ca/?post_type=product&p=60020,2024-03-13 22:29:39
4,Clorox Bleach Germicidal Wipes Bucket,"Clorox Healthcare Bleach Germicidal Wipes: Ready-to-Use One-Step Cleaner and Disinfectant Experience the power of Clorox Healthcare Bleach Germicidal Wipes, your ultimate solution for maintaining a clean and safe environment in healthcare settings. These pre-moistened wipes are designed to provide comprehensive cleaning and disinfection, effectively eliminating 66 pathogens in just 3 minutes or less. Key Features: Broad-Spectrum Efficacy: Kills a wide range of bacteria, viruses, fungi, and spores, including tough-to-kill pathogens like C. difficile spores, MRSA, and VRE. Fast-Acting Formula: Achieves bactericidal, virucidal, fungicidal, tuberculocidal, and sporicidal action in 3 minutes or less, with some viruses killed in as little as 1 minute. Convenient and Ready-to-Use: Pre-moistened with a powerful bleach-based formula, these 12 x 12 wipes are easy to use and ideal for rapid disinfection. Gentle Scent: Leaves behind a subtle odour-masking fragrance, making it pleasant to use in patient care areas. Reduced Cross-Contamination Risk: Minimizes the risk of transmitting infections on treated surfaces. Packaging: 150 sheets per canister, 6 canisters per case, ensuring ample supply for high-traffic healthcare facilities. Proven Efficacy: Health Canada registered and proven to kill 66 pathogens, including bacteria, viruses, and fungi. Designed to combat healthcare-associated infections (HAIs) and tested for efficacy in the presence of organic soil load. Trusted by Healthcare Professionals: Supported by over 25 peer-reviewed articles, these wipes are a key component of infection prevention strategies in healthcare settings. Meets PIDAC recommendations for disinfecting surfaces in patient care areas. Optimized for Extended Usage: Compatible with common healthcare surfaces, including plastics and stainless steel. Recommended for cleaning and care of external surfaces of medical equipment. Effective Against a Wide Range of Pathogens: Bacteria: Including Acinetobacter baumannii, MRSA, VRE, and ESBL-producing organisms. Viruses: Including SARS-CoV-2 (COVID-19), HIV, Hepatitis A, B, and C, and Influenza A and B. Fungi: Including Candida albicans and Trichophyton interdigitale (Athletes Foot Fungus). Spores: Including Clostridium difficile spores. Clorox Bleach Germicidal Wipes the highest standards of cleanliness and infection control with Clorox Healthcare Bleach Germicidal Wipes, your trusted partner in maintaining a safe and healthy environment.",55894,129.50,https://mecp.ca/product/clorox-bleach-germicidal-wipes-bucket/,2024-03-13 22:29:39
5,Clorox Healthcare Bleach Germicidal Wipes  Terminal Wipes Bucket,,,0.00,https://mecp.ca/?post_type=product&p=59985,2024-03-13 22:29:39
6,Lysol On-The-Go 15 CT Disinfectant Wipes,"Lysol On-The-Go Citrus Disinfectant Wipes are your perfect companion for maintaining hygiene wherever you are. Packaged in a convenient 15-wipe count, these wipes are designed for easy transport and use on the move. With the power to kill 99.99% of viruses and bacteria, including those responsible for cold and flu, these wipes are an essential item for your hygiene kit. Product Features: Powerful Disinfectant: Lysol On-The-Go Kills 99.99% of viruses and bacteria, including 8 cold and flu viruses, Salmonella, E. Coli, MRSA, Staph, and Strep viruses, along with antibiotic-resistant bacteria. Allergen Removal: Effectively removes more than 95% of allergens, making it ideal for users sensitive to common allergens. Unique Micro-Pocket Pattern: Designed to trap and lift everyday messes quickly, making cleaning up spills and dirt a breeze. Safe on Electronics: Can be safely used on electronics, including smartphones, tablets, and remote controls, without damaging the devices. Citrus Scent: Leaves a fresh and invigorating citrus fragrance after cleaning, refreshing any space instantly. Specifications: Unit Quantity: 24 packs per case, 15 wipes per pack Product Size: Each wipe is ready-to-use (RTU), ensuring immediate disinfection and cleaning. Packaging Dimensions: The case measures 12 inches in length, 9.64 inches in width, and 7.52 inches in height. Shelf Life: 24 months, guaranteeing long-lasting effectiveness. Usage: Ideal for quick clean-ups and disinfecting surfaces while traveling, at work, or in public spaces. Perfect for cleaning hard, non-porous surfaces, offering peace of mind by reducing the risk of infection. Packaging: Lysol On-The-Go comes in a case of 24 packs, each containing 15 wipes, with easy-to-open packaging that fits into any bag or glove compartment, making it perfect for on-the-go use. Lysol On-The-Go Citrus Disinfectant Wipes provide the trusted disinfecting power of Lysol in a compact, travel-friendly package. Whether youre commuting, traveling, or simply out and about, these wipes offer a quick and convenient way to ensure the surfaces you come into contact with are sanitized, keeping you and your loved ones protected from germs and bacteria.",CB998311,68.40,https://mecp.ca/product/lysol-on-the-go-15-ct-disinfectant-wipes/,2024-03-13 22:29:39
7,Lysol Disinfecting Wipes Flatpack,"Unlock the power of quick and effective disinfection with Lysol Disinfecting Wipes Flatpack in a refreshing Citrus scent. Each pack contains 84 pre-moistened wipes designed to kill 99.99% of viruses and bacteria on surfaces throughout your home. These wipes are crafted for convenience, eliminating the need for bottles and sponges, making cleanup a breeze. Safe for use on electronics, theyre perfect for keeping your gadgets germ-free. Features: Powerful Disinfection: Targets and kills 99.99% of viruses and bacteria, including those responsible for cold and flu, ensuring your home remains a safe environment. Advanced Formula: Effectively combats Salmonella, E. Coli, MRSA, Staph, Strep viruses, and antibiotic-resistant bacteria, offering comprehensive protection against a wide range of pathogens. Allergen Removal: Expertly removes over 95% of allergens, making it ideal for households with allergy sufferers. Innovative Design: Features a unique Micro-Pocket Pattern that quickly traps and lifts everyday messes, simplifying your cleaning routine. Eco-Friendly: Proudly made from 100% plant-based fibers, ensuring the wipes are biodegradable and environmentally responsible. Product Specifications: Count: 84 wipes per canister, 4 canisters per case Fragrance: Citrus Dimensions: Pack dimensions are 11.22 inches in length, 4.88 inches in width, and 8.54 inches in height. Weight: 4.34 lbs per case Applications: Versatile Cleaner: Lysol Disinfecting Wipes Flatpack is ideal for disinfecting and cleaning hard, non-porous surfaces in the kitchen, bathroom, and common areas, as well as electronics like smartphones, tablets, and remote controls. User-Friendly: Simply wipe the surface to disinfect; no rinsing required, making it perfect for quick clean-ups and thorough cleaning tasks alike. Lysol Disinfecting Wipes Flatpack in Citrus not only provide a powerful clean but also bring a burst of freshness to your home. With their biodegradable material and effective disinfectant formula, these wipes offer a responsible choice for maintaining hygiene and health in your living spaces.",CB997543,65.50,https://mecp.ca/product/lysol-disinfecting-wipes-flatpack/,2024-03-13 22:29:39
8,Lysol Disinfectant Spray,"Lysol Disinfectant Spray  Crisp Linen, 539g, Pack of 12 Product Overview: Introducing the Lysol Disinfectant Spray in Crisp Linen scent, a powerful cleaning solution designed to kill 99.99% of viruses and bacteria on both hard and soft surfaces. This versatile spray not only eliminates pathogens but also neutralizes 99.9% of odor-causing bacteria, leaving your home smelling fresh and clean. Its formula is crafted to prevent the growth of Mold & Mildew for up to a week, ensuring a healthier living environment. Features: Broad-Spectrum Efficacy: Eliminates more than 100 illness-causing germs, including those responsible for colds and flu, when used as directed. Odor Elimination: Targets and neutralizes odor-causing bacteria, offering a refreshing Crisp Linen scent that rejuvenates any space. Mold & Mildew Prevention: Provides protection against Mold & Mildew growth on surfaces for up to a week, enhancing the cleanliness and air quality of your home. Surface Compatibility: Safely sanitizes a variety of surfaces, making it suitable for both hard and soft materials without damaging them. Product Specifications: Quantity: 12 cans per case Weight: 539g per can Fragrance: Crisp Linen Dimensions: Each can measures 11.5 inches in height and width, with a depth of 8.625 inches. Applications: Disinfectant Spray: Ideal for eliminating germs on surfaces including countertops, door handles, and bathroom fixtures. Air Freshener: Acts as a deodorizer, infusing your home with the clean and invigorating scent of Crisp Linen. Usage Instructions: For effective disinfection and odor control, hold the can upright 6 to 8 inches from the surface. Spray until thoroughly wet and let it stand for a few minutes before wiping away any excess. Lysol Disinfectant Spray in Crisp Linen is your ally in maintaining a hygienic and inviting home. Whether youre targeting bacteria, viruses, or unpleasant odors, this spray offers a potent formula combined with the freshness of linen, bringing both cleanliness and comfort to your living spaces.",CB896398,119.95,https://mecp.ca/product/lysol-disinfectant-spray/,2024-03-13 22:29:39
9,LYSOL Disinfecting Wipes,"Product Overview: Lysol Disinfecting Wipes are your go-to solution for a clean and germ-free home, now available in Citrus and Spring Waterfall fragrances. These pre-moistened, disposable wipes kill germs on various surfaces, including wood, without the mess of bottles or sponges. Theyre also electronics-safe, making them perfect for sanitizing devices like smartphones, tablets, and remote controls. Features: Broad Spectrum Disinfection: Effectively kills 99.99% of viruses and bacteria*, including pathogens like the virus that causes COVID-19. Targets Resistant Germs: Eliminates Salmonella, E. Coli, MRSA, Staph, Strep viruses, and antibiotic-resistant bacteria for comprehensive home protection. Allergen Control: Removes over 95% of allergens, including pet dander, dust mites, and pollen, aiding those with sensitivities. Designed for Efficiency: Utilizes a unique Micro-Pocket Pattern for quick absorption and lifting of everyday messes. Safe on Electronics: Proven to clean and disinfect gadgets without harm, ensuring your devices remain germ-free. Product Specifications: Fragrances: Available in refreshing Citrus and invigorating Spring Waterfall scents. Quantity: 75 wipes per canister, with 6 canisters per case. Dimensions: Each wipe is sized at 13.2 in (L) x 4.25 in (W) x 8.5 in (H). Shelf Life: 24 months from production. Applications: LYSOL Disinfecting Wipes are perfect for disinfecting and cleaning hard, non-porous surfaces across the home, including the kitchen, bathroom, and commonly touched items. Theyre also great for immediate clean-ups. Usage Instructions: To disinfect, simply use the wipe on the desired surface. Theres no need for rinsing, making it an ideal choice for quick and effective cleaning. With LYSOL Disinfecting Wipes in Citrus and Spring Waterfall, you can enjoy a home thats not only clean but also smells fresh and inviting. Whether youre cleaning up spills or doing a full-home disinfection, these wipes offer the convenience and effectiveness you need to maintain a healthy living environment.",,49.95,https://mecp.ca/product/lysol-disinfecting-wipes-citrus/,2024-03-13 22:29:39
10,MedPro Tuning Fork Set,"MedPro Tuning Fork Set is a comprehensive tool used for neurological testing and bone conduction. It includes six tuning forks, ranging from C-128 to C-1046, which cover a wide range of frequencies. MedPro Tuning Fork Set precision machined aluminum alloy tuning forks provide accurate results and are housed in a deluxe hard case for easy storage and transportation. Whether used for diagnosing neurological conditions or testing bone conduction, this tuning fork set is a reliable and essential instrument for healthcare professionals. Complete in a deluxe hard case. Used for neurological testing and bone conduction.  C-128 (Weighted), C-256 (Weighted), C-512, C-1024, C-2048, C-4096 Tuning Forks.  Used for neurological testing and bone conduction  Precision machined aluminum alloy  Complete in a deluxe hard case  SKU Model Sold By  112-100  C-128 to C-1046  Set of 6",112-100,282.39,https://mecp.ca/product/medpro-tuning-fork-set/,2024-03-13 22:29:39
