id,name,description,sku,price,permalink,created_at
1,"Ea/1 Cane Aluminum Black W/ Fritz Handle 35""L 3/4"" Slip-Resistant Metal-Reinforced Rubber Tip (300Lbs)",Airway,AIR 5143BK,36.98,https://medicalwarehouse.ca/products/air-5143bk,2024-03-18 16:29:11
2,"Ea/1 Cast Cover Half Arm, Adult",Airway,AIR 0158-A,31.23,https://medicalwarehouse.ca/products/air-0158-a,2024-03-18 16:29:11
3,"1/Pr Guardian Forearm Crutches, Adult",Medline,MDL G05161,94.94,https://medicalwarehouse.ca/products/mdl-g05161,2024-03-18 16:29:11
4,"Ea/1 Bios Wheelchair Cushion 16""X18""X3""",BIOS MEDICAL,BIOS LF882,46.16,https://medicalwarehouse.ca/products/bios-lf882,2024-03-18 16:29:11
5,Ea/1 Cane Wrist Strap,Airway,AIR 5131,5.26,https://medicalwarehouse.ca/products/air-5131,2024-03-18 16:29:11
6,"Ea/1 Bios Wheelchair Cushion 16""X18""X4""",BIOS MEDICAL,BIOS LF883,79.82,https://medicalwarehouse.ca/products/bios-lf883,2024-03-18 16:29:11
7,"Ea/1 Cane Folding, Adjustable (33-37"") Wood Fritz Handle 7/8"" Aluminum Tubing & 3/4"" Slip Resistant Tip Blue Peacock 300Lbs Cap.",Airway,AIR 514141,43.88,https://medicalwarehouse.ca/products/air-514141,2024-03-18 16:29:11
8,"Ea/1 Bios Reach-N-Grip 26"" (66Cm)",BIOS MEDICAL,BIOS LF573,13.71,https://medicalwarehouse.ca/products/bios-lf573,2024-03-18 16:29:11
9,"Ea/1 Bios Rolling Shopping Cart, Grey With White Polka Dots",BIOS MEDICAL,BIOS LF533,74.37,https://medicalwarehouse.ca/products/bios-lf533,2024-03-18 16:29:11
10,Ea/1 Bios Lotion Applicator,BIOS MEDICAL,BIOS LF320,13.54,https://medicalwarehouse.ca/products/bios-lf320,2024-03-18 16:29:11
11,Ea/1 Bios Leg Lifter,BIOS MEDICAL,BIOS LF266,19.52,https://medicalwarehouse.ca/products/bios-lf266,2024-03-18 16:29:11
12,"Ea/1 Belt Soft With Ties 4.5"" Universal Long",Canadian Hospital Specialties,CHS 4125L,50.87,https://medicalwarehouse.ca/products/chs-4125l,2024-03-18 16:29:11
13,"Ea/1 Aluminum Adjustable Cane, Offset Handle, Camouflage",Airway,AIR 514158,40.92,https://medicalwarehouse.ca/products/air-514158,2024-03-18 16:29:11
14,Ea/1 Bios Bed Rail,BIOS MEDICAL,BIOS LF838,99.70,https://medicalwarehouse.ca/products/bios-lf838,2024-03-18 16:29:11
15,"Ea/1 Champion Minimum Knee Support W/ Stabilizer Pad S (12 1/2-13 3/4"") Neoprene Sleeve Blue Latex-Free",Airway,AIR 0309-S,59.12,https://medicalwarehouse.ca/products/air-0309-s,2024-03-18 16:29:11
16,"Ea/1 Champion Neoprene Minimum Knee Support W/ Open Patella  Xl (16 17 1/2"") Blue 4-Way Stretch Breathable Moisture Absorbent Interior",Airway,AIR 0306RB-XL,35.00,https://medicalwarehouse.ca/products/air-0306rb-xl,2024-03-18 16:29:11
17,"Ea/1 Champion Minimum Knee Support W/ Stabilizer Pad Xl, Neoprene Sleeve Blue Latex-Free",Airway,AIR 0309-XL,59.12,https://medicalwarehouse.ca/products/air-0309-xl,2024-03-18 16:29:11
18,"Ea/1 Champion Neoprene Minimum Knee Support W/ Open Patella 2Xl (17 3/4 - 19 1/4"") Blue 4-Way Stretch Breathable Moisture Absorbent Interior",Airway,AIR 0306RB-2L,35.00,https://medicalwarehouse.ca/products/air-0306rb-2l,2024-03-18 16:29:11
19,"Ea/1 Champion Neoprene Minimum Knee Support W/ Open Patella Md (14-15 1/4"") Black 4-Way Stretch",Airway,AIR 0306BL-M,35.00,https://medicalwarehouse.ca/products/air-0306bl-m,2024-03-18 16:29:11
20,"Ea/1 Champion Neoprene Minimum Ankle Support  M (7 3/4-8 3/4"") Blue",Airway,AIR 0307-M,24.75,https://medicalwarehouse.ca/products/air-0307-m,2024-03-18 16:29:11
21,"Ea/1 Champion Neoprene Minimum Knee Support W/ Open Patella Lg (15 1/2 - 16 1/2"") Black 4-Way Stretch",Airway,AIR 0306BL-L,35.00,https://medicalwarehouse.ca/products/air-0306bl-l,2024-03-18 16:29:11
22,Ea/1 Transport Chair/Lightweight/Black 19In,Airway,AIR 800003,441.76,https://medicalwarehouse.ca/products/air-800003,2024-03-18 16:29:11
23,Ea/1 Single Button Folding Walker Standard,Airway,AIR 5051,126.64,https://medicalwarehouse.ca/products/air-5051,2024-03-18 16:29:11
24,"Ea/1 Soft Belt Pelvic Strap 4 1/2""W",Canadian Hospital Specialties,POS 4125C,85.68,https://medicalwarehouse.ca/products/pos-4125c,2024-03-18 16:29:11
25,"Ea/1 Neoprene Wrist/Thumb Splint, Blue, Small",Airway,AIR 0305-S,37.37,https://medicalwarehouse.ca/products/air-0305-s,2024-03-18 16:29:11
26,"Ea/1 Neoprene Wrist/Thumb Splint, Blue, Medium",Airway,AIR 0305-M,37.37,https://medicalwarehouse.ca/products/air-0305-m,2024-03-18 16:29:11
27,"Ea/1 Neoprene Wrist/Thumb Splint, Blue, Large",Airway,AIR 0305-L,37.37,https://medicalwarehouse.ca/products/air-0305-l,2024-03-18 16:29:11
28,"Ea/1 Rollator W/ Curved Backrest  Titanium  8"" Wheels  18""W Handles  250Lbs",Airway,AIR 5313-TI,318.89,https://medicalwarehouse.ca/products/air-5313-ti,2024-03-18 16:29:11
29,"Ea/1 Reach Extender (Up To 30"") Grip Handle W/ Non-Slip Prongs",Airway,AIR 6031,20.77,https://medicalwarehouse.ca/products/air-6031,2024-03-18 16:29:11
30,Ea/1 Quad Cane  Small Base  Black,Airway,AIR 529500,58.91,https://medicalwarehouse.ca/products/air-529500,2024-03-18 16:29:11
31,Ea/1 Rollator Blue  Flip-Up Removable Backrest/Nylon Basket,Airway,AIR 5311,248.99,https://medicalwarehouse.ca/products/air-5311,2024-03-18 16:29:11
32,"Ea/1 Pneumatic Stool W/Out Back Revolving Adjustable 5-Caster Base (24""W X 16.5-22""H) Glide",Nightingale,NT 1000BL-G,333.94,https://medicalwarehouse.ca/products/nt-1000bl-g,2024-03-18 16:29:11
33,Ea/1 Replacement Basket For Rollator Air 5314,Airway,AIR 5315BK,53.63,https://medicalwarehouse.ca/products/air-5315bk,2024-03-18 16:29:11
34,Ea/1 Pedal Exerciser,Airway,AIR 6298,59.81,https://medicalwarehouse.ca/products/air-6298,2024-03-18 16:29:11
35,"Ea/1 Pcp Cane Men'S Adjustable (33-41"") Tourist Handle Foam Black 7/8"" Aluminum Tubing W/ Slip-Resist Tip 300Lbs",Airway,AIR 514171,22.95,https://medicalwarehouse.ca/products/air-514171,2024-03-18 16:29:11
